"","s1","s2","x0","x1","y","z"
"1",0,0,1,-0.509499178548983,1,-0.82601237793271
"2",0,1,1,0.617978695937028,0,-1.00909780155864
"3",1,0,1,-0.495514854688842,3,0.41141917077219
"4",1,1,1,0.975109969111834,0,-1.0785890047137
"5",0.488254705211148,0.182764880824834,1,0.614522415229769,0,-0.636150978062731
"6",0.0885081447195262,0.0495238797739148,1,0.374335160585028,0,-0.301537567525431
"7",0.253743949113414,0.504156794631854,1,0.833725896722645,2,0.804354363106571
"8",0.86158658284694,0.555894694291055,1,-0.291720394246153,2,0.0880353445689679
"9",0.76563127595,0.380872613284737,1,1.91502301112996,0,-0.365932739742839
"10",0.393102736677974,0.178282185690477,1,-0.520294526976573,0,-0.7490219853454
"11",0.803580583073199,0.507394089829177,1,-2.03052046683998,23,-0.152526759163093
"12",0.233813263941556,0.813907198607922,1,-0.470182111806738,5,0.0488469168614793
"13",0.996069339336827,0.0331533297430724,1,-0.338651783336851,4,-0.0148332163053275
"14",0.083768597105518,0.0150577544700354,1,0.508480349527787,0,-0.640011785253224
"15",0.567962064640597,0.380227047018707,1,-0.678480224728385,2,-0.313159951813291
"16",0.892206891905516,0.377283666748554,1,-0.178091542377921,0,-0.0976484666605721
"17",0.0374903827905655,0.164036468835548,1,-0.91663513688388,5,-0.38403520003722
"18",0.14449437870644,0.982100327499211,1,0.254682742144272,2,-0.606801392585859
"19",0.704506716690958,0.142228444805369,1,-0.602610204740177,4,-0.53981288609496
"20",0.825296545634046,0.985520176589489,1,0.440999595826076,1,-0.45658858223944
"21",0.271359675796703,0.875200110953301,1,0.671030260076769,0,-0.280930885790822
"22",0.986435811500996,0.873324960004538,1,0.0650082441299296,1,-1.48301084710827
"23",0.631038032937795,0.698244896484539,1,-0.512888575162996,4,-0.525811557088123
"24",0.361604418838397,0.0470378042664379,1,-0.0688701343962286,1,-0.235586503033251
"25",0.0970566791947931,0.578025515656918,1,1.94642139158554,2,0.912806474021844
"26",0.577529409667477,0.944125040434301,1,0.842297775537365,1,-0.749284563892179
"27",0.639323385199532,0.35887581598945,1,0.11167367800822,2,-0.892818502525546
"28",0.871071645990014,0.334385557100177,1,-1.50585411224422,19,0.111211984908416
"29",0.170741371111944,0.987734567839652,1,0.0469610035599591,2,-0.271464864623902
"30",0.57787516550161,0.739148625405505,1,-0.520558689034307,2,-0.830161851251827
"31",0.999396099243313,0.942591795697808,1,0.197445641788906,0,-0.54322566752193
"32",0.26248876657337,0.138478414621204,1,1.83811713719605,0,-0.924156589699853
"33",0.450815524207428,0.0784098110161722,1,-0.402478719541126,3,-1.07735984174305
"34",0.457068825373426,0.91281626559794,1,-0.189051424215445,1,-1.23995671440102
"35",0.000418595969676971,0.322953099152073,1,-0.147460444288318,4,0.410299224019563
"36",0.228560419986024,0.627226312411949,1,-0.477445975968974,4,0.0467487869964015
"37",0.303247820353135,0.232951128622517,1,-0.239833463119893,6,-0.239898852094945
"38",0.953600884880871,0.11371081136167,1,1.85656010654553,0,-0.634358451290772
"39",0.245468098670244,0.703353512333706,1,1.08486696799401,5,0.00635364499367574
"40",0.842883962905034,0.0076202533673495,1,1.6816332030677,0,-0.532339790664421
"41",0.700911972671747,0.712963321013376,1,-0.737116391154892,5,-0.27713107458109
