"","RouteDataID","CountryNum","StateNum","Route","RouteName","Latitude","Longitude","NCar","Noise","BirdCount"
"1",6376906,124,11,198,"MASSETT",54.03085,-132.05651,12,0,3
"2",6376218,124,11,220,"LAVINGTON",50.26615,-119.08702,175,2,2
"3",6376904,124,11,300,"Skidegate Lake",53.20804,-131.79334,0,0,3
"4",6374460,124,11,411,"Maple Ridge",49.18402,-122.53478,154,10,1
"5",6376214,124,11,608,"PARK RILL",49.25746,-119.5261,54,3,2
"6",6376519,124,4,109,"MAZEPPA",50.42635,-113.82728,29,0,6
"7",6375042,124,4,203,"KIPP COULEE",49.38423,-112.65106,2,4,3
"8",6376753,124,43,27,"North of Inuvik",68.369014,-133.716155,0,0,1
"9",6376779,124,43,3,"MACKENZIE R",67.4588,-133.7623,1,0,1
"10",6376722,124,45,1,"ELMA",49.87065,-95.97518,10,6,3
"11",6376868,124,45,209,"GRAND CLAIRI",49.50274,-100.70386,4,0,1
"12",6375639,124,45,311,"Stony Creek",49.41432,-100.98697,0,1,1
"13",6376645,124,45,7,"MATHER",49.04413,-99.21111,6,10,1
"14",6374956,124,56,116,"LAMÈQUE",47.61835,-64.81201,145,4,2
"15",6375971,124,57,102,"Lords Cove",46.93472,-55.53559,15,0,3
"16",6376821,124,65,117,"SHUBENACADIE",45.29564,-63.44884,68,0,1
"17",6376793,124,65,13,"TRAFALGAR",45.2679,-62.21257,4,0,1
"18",6376457,124,68,207,"BRANTFORD",43.14654,-80.20405,33,0,1
"19",6376903,124,68,255,"HICKS LAKE",48.86142,-89.12747,48,0,1
"20",6376843,124,76,165,"CAP D'ESPOIR",48.41961,-64.31785,33,3,15
"21",6375333,124,79,113,"EDENWOLD",50.57177,-104.27272,19,1,3
"22",6376744,124,79,213,"Craven",50.75888,-104.6899,9,0,1
"23",6376311,840,14,109,"CIMA",35.1743817,-115.4116059,63,2,16
"24",6374766,840,14,119,"ELSINORE MTN",33.6484217,-117.4101409,34,1,7
"25",6376106,840,14,122,"CUYAMACA PK",32.9845324,-116.6771527,122,0,3
"26",6374227,840,14,124,"DEATH VALLEY",36.4373087,-116.8511739,2,0,15
"27",6376100,840,14,137,"JACUMBA",32.6119997,-116.2002339,66,0,6
"28",6374183,840,14,139,"GREENWATER V",36.0509851,-116.5004177,17,0,4
"29",6374234,840,14,140,"CARRIZO PLN",35.0931687,-119.7298739,6,0,1
"30",6376254,840,14,226,"ANZA 2",33.5014318,-116.7979649,327,0,2
"31",6374570,840,14,240,"WILLOW SPRINGS 2",34.971073,-118.148742,48,3,6
"32",6375807,840,14,252,"Hollister 2",36.8242987,-121.2813,146,0,4
"33",6374224,840,14,29,"UBEHEBE",36.7126677,-117.5737919,0,0,5
"34",6376111,840,14,37,"VALLEY WELLS",35.473722,-115.7029053,0,0,12
"35",6375368,840,14,415,"PAXTON",40.0402279,-120.9961818,16,2,1
"36",6374273,840,14,418,"FOREST HILL",39.0192397,-120.8263239,19,0,6
