"","RouteDataID","CountryNum","StateNum","Route","RouteName","Latitude","Longitude","NCar","Noise","BirdCount"
"1",6317835,124,11,29,"GOLDEN",51.32189,-116.98707,67,2,1
"2",6350618,124,11,401,"SALT SPR. IS",48.74932,-123.54811,240,5,7
"3",6340633,124,11,621,"KAMLOOPS",50.57455,-120.08938,1876,25,125
"4",6317284,124,4,208,"ENCHANT",50.16448,-112.31428,34,1,2
"5",6317289,124,4,209,"ENSIGN",50.48464,-113.39021,77,3,3
"6",6319604,124,4,220,"BASHAW",52.52175,-112.85969,13,0,1
"7",6319687,124,4,229,"CALMAR",53.3377,-113.85339,0,30,3
"8",6317997,124,4,309,"CLEAR LAKE",50.01932,-113.39054,15,1,1
"9",6319269,124,4,311,"CHINOOK",51.44452,-110.91913,5,1,8
"10",6317906,124,4,408,"ROSEMARY",50.92147,-112.17449,9,4,18
"11",6317814,124,4,9,"BUFFALO HILL",50.60147,-113.02852,10,0,3
"12",6319719,124,45,111,"ELVA",49.28134,-101.30176,0,0,2
"13",6318814,124,45,20,"POPE",50.04899,-100.78298,2,1,1
"14",6319562,124,45,218,"BIRNIE",50.58765,-99.44659,1,9,2
"15",6319608,124,45,307,"Hilton",49.48794,-99.81088,24,2,1
"16",6319055,124,45,313,"Lac du Bonnet",50.14935,-96.17788,12,0,4
"17",6319161,124,45,48,"TWIN CREEKS",52.82173,-99.00618,9,0,1
"18",6319109,124,45,5,"JORDAN",49.38436,-98.02424,22,2,3
"19",6319599,124,45,7,"MATHER",49.04413,-99.21111,7,0,4
"20",6319121,124,62,16,"MAGUSE",61.09635,-93.98366,1,0,1
"21",6319101,124,65,117,"SHUBENACADIE",45.29564,-63.44884,64,0,1
"22",6340837,124,68,207,"BRANTFORD",43.14654,-80.20405,20,0,2
"23",6319061,124,68,220,"SUNNIDALE CO",44.43382,-80.01264,10,5,2
"24",6318191,124,68,248,"MATACHEWAN",47.95967,-80.69264,25,4,325
"25",6319543,124,76,100,"NATASHQUAN",50.21951,-61.99508,11,0,4
