"s1","s2","time","x0","x1","y","z"
0,0,1,1,-0.0645019999490785,56,-0.17026529159921
0,1,1,1,-0.209589595052273,144,0.690198568236787
1,0,1,1,0.82162197808313,51,0.248343169347613
1,1,1,1,-0.0480603172939188,61,-0.0754912343341703
0.545964057557285,0.770011833170429,1,1,-1.08454579768653,251,0.997108503640452
0.899860687088221,0.331250231480226,1,1,-0.490205926250031,106,0.462484996943534
0.203189380932599,0.789848907617852,1,1,-0.919290136517847,150,0.440164294294852
0.454937388654798,0.8251552216243,1,1,-1.92185842144453,351,0.936333471839054
0.326013770885766,0.038911888608709,1,1,1.91260898081077,36,0.541440816111441
0.51866467972286,0.591457208618522,1,1,0.288920449176314,89,0.424670956795842
0.33975864155218,0.846304918639362,1,1,-0.951511740601728,112,0.202498314500609
0.789275717688724,0.0108362704049796,1,1,-0.246445577365126,103,0.543758094318654
0.310630148975179,0.40914720739238,1,1,-0.807586739098245,192,0.925494516259631
0.0753036371897906,0.0496029446367174,1,1,0.839583558903704,25,-0.21410830081213
0.406423505861312,0.801143376156688,1,1,-0.189478815520295,75,0.323224032729572
0.926871675532311,0.440415936755016,1,1,-0.306489916443285,102,0.599887608574461
0.735501501476392,0.400647824862972,1,1,-0.738950812318802,99,0.223842473628292
0.45930959819816,0.840672933263704,1,1,0.125957477482413,160,1.2133720690458
0.0134550763759762,0.361121953232214,1,1,0.772931635777376,27,-0.277654500174017
0.769326762761921,0.365098511101678,1,1,0.521742120115951,67,0.520746326213074
0.381878064246848,0.0733639358077198,1,1,-1.65967094766426,206,0.548662451171922
0.642021641135216,0.250565509544685,1,1,0.965178416160491,28,-0.105494304244113
0.00155473500490189,0.265109290136024,1,1,0.523695227410299,26,-0.218654548767553
0.555468565784395,0.963342230767012,1,1,1.51359564971448,62,0.785028477169565
0.416540031321347,0.573555625975132,1,1,-0.617072139786355,89,0.420939638772752
0.338074603118002,0.14440224179998,1,1,0.814960537110395,51,0.531247879994226
0.852121530100703,0.517234332626686,1,1,0.00979850916705962,103,0.700102377712622
0.698116144863889,0.0770900882780552,1,1,-0.243724663865026,26,-0.64865748807781
0.116025801282376,0.870494729606435,1,1,-0.632132847415795,100,0.422641295463709
0.391787291970104,0.0365068877581507,1,1,-0.218100474103261,115,0.605557549730174
0.189531000796705,0.844989601522684,1,1,0.521588004058966,44,0.323416944661391
0.82097871392034,0.330676699057221,1,1,-0.551395350853545,182,0.925695131150737
0.137276601279154,0.088169532828033,1,1,-0.864933439327482,65,-0.00608246647076482
0.768211326794699,0.514406879199669,1,1,-0.111301605469719,138,0.88751537574789
0.374057302018628,0.774189644725993,1,1,0.696558384268447,41,0.192303702575319
0.156888052122667,0.687208615941927,1,1,-0.254434193753887,115,0.643726177846816
0.35268337954767,0.861712441546842,1,1,1.21377640556326,24,0.261305653287439
0.157676917966455,0.676427099155262,1,1,0.280232615040483,85,0.53534329453438
0.7157901476603,0.354905465384945,1,1,-1.16432621937961,95,0.072900617404798
0.531287479447201,0.363477348349988,1,1,-1.5273249805244,103,-0.17286769710024
0.0550939182285219,0.613059035968035,1,1,0.143494770639681,94,0.764661419265121
0.540058806771412,0.28662740951404,1,1,2.13476483835294,33,0.457925765142473
0.0669122696854174,0.810919566312805,1,1,0.922949249741321,73,0.759835911357383
0.251726607093588,0.568371193716303,1,1,1.03961964232317,56,0.32182068092432
0.742239950457588,0.0625580549240112,1,1,-0.457145949488692,42,-0.61174296471752
0.0220479695126414,0.212345372652635,1,1,-0.0856863168549494,45,-0.180127983982851
0.431133456761017,0.571903518168256,1,1,0.953187683737408,43,0.391858506961482
0.13677376229316,0.791903586359695,1,1,2.45150879044289,37,0.736258740562739
0.664136758074164,0.00959968264214694,1,1,-2.10105428281955,87,-0.674019551920722
0.913291268050671,0.219255709787831,1,1,1.13102300324508,44,0.347146351184147
0.08579056779854,0.273953893920407,1,1,0.0342610654823434,80,0.200233648339076
0.659308701753616,0.145731204655021,1,1,0.821550741162947,16,-0.250574181336391
0.304498840589076,0.0597253446467221,1,1,0.732085179678292,81,0.677134005684648
0.994826597627252,0.0780802294611931,1,1,-0.458791319191762,109,0.559496695797288
0.785625242395326,0.865290286950767,1,1,1.58269626344837,91,1.28838907117895
0.897811935748905,0.875501174246892,1,1,0.0701706567310558,105,0.73106717862302
0.887119342107326,0.193849148927256,1,1,-0.255992972872984,107,0.482339216616652
0.511213372927159,0.125615368131548,1,1,1.1841416978715,85,1.22488535500112
0.123934347415343,0.35218194546178,1,1,0.919214310784263,30,-0.102259923194932
0.850195706123486,0.723241950618103,1,1,0.934599804334436,95,1.07711800901236
0.299798870226368,0.46312274876982,1,1,-0.262431584426426,70,0.166005857928279
0.0699462078046054,0.0755919970106333,1,1,0.627403414248042,25,-0.49707806975437
0.0756762332748622,0.604087605141103,1,1,-0.693504183813813,204,0.838111823952846
