"s1","s2","x0","x1","y","z"
0,0,1,0.0444441789805627,98,-0.322277726752022
0,1,1,-1.83265391525772,258,-0.360730896153115
1,0,1,-0.395421485799742,285,0.4297958722546
1,1,1,-1.84267464226872,543,0.309193061619818
0.585239584324881,0.205673650605604,1,0.356321191735997,122,-0.164878061241953
0.437393987318501,0.866970354691148,1,0.957956565047172,46,-0.564524587390798
0.57289436343126,0.901480044238269,1,-1.06111319974532,76,-1.07153956143271
0.353213916067034,0.24406519997865,1,-1.18441832272369,230,-0.135867359323429
0.861271401401609,0.127475798828527,1,-0.203326667237009,182,0.145018288793479
0.410803579958156,0.108161559095606,1,1.0577739381926,62,-0.341024810058237
0.511453253915533,0.688169742235914,1,1.05456069095487,61,-0.436629873106544
0.154285229742527,0.863929076585919,1,-0.374987533100842,159,-0.112231226183392
0.851353050209582,0.906731035094708,1,2.11131826369382,42,0.0688920368139544
0.996083338512108,0.327052481239662,1,-0.0542793113011017,389,0.962863899870809
0.535167186986655,0.971558784367517,1,0.290952447767888,65,-0.63776251960115
0.434186844620854,0.0968831172212958,1,-0.32842476154786,152,-0.150101222915352
0.0795016081538051,0.492274948162958,1,-1.17275935639163,210,-0.167202175668263
0.583211785182357,0.746348129818216,1,-0.0119671005765075,64,-0.932203401215168
0.522018939256668,0.595553369726986,1,-1.0011261210452,168,-0.308511642685652
0.780659068608657,0.884909068234265,1,1.0994062532055,86,-0.122102268231199
0.47157733887434,0.252658204641193,1,-1.55824667278879,521,0.476357679738775
0.808363400632516,0.0553570124320686,1,-0.520698182210203,423,0.773877330332309
0.640900628874078,0.132804422872141,1,0.0615676312774926,165,0.285023542588015
0.780550708062947,0.24984940723516,1,0.603992170317475,109,0.00474336721649136
0.574718370335177,0.938349943375215,1,-0.984535113383486,93,-0.982620828153867
0.322705096565187,0.172203264199197,1,-0.616230465012725,195,0.0217419916197601
0.289040739415213,0.536363027291372,1,0.288692266159233,137,0.0842877969313761
0.239890441065654,0.917022913461551,1,-1.20354835108499,304,0.0715017483399671
0.534583230968565,0.450877400115132,1,-0.714980696593806,233,0.0799029236049465
0.172504912829027,0.992097691865638,1,0.524268283704547,140,0.331568734749105
0.260751785710454,0.445169186452404,1,-0.869490386095377,245,0.258318314458546
0.487882924964651,0.74451292771846,1,2.06381088183379,25,-0.769562846791028
0.641865516081452,0.532223112881184,1,0.397036598273513,217,0.503391273758563
